position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
EO,1,0.5,0.5,1,1,1,1
EP,1,0.5,0,1,1,1,1
EQ,1,0.5,0,1,1,0,0
ER,1,1,0,1,1,1,1
ES,1,0.5,0.75,1,0.5,0,0
ET,1,1,0.25,0.5,1,0,1
EU,1,1,0,1,1,1,1
EV,1,1,0.5,1,0,0,0
EW,1,0.5,0.5,1,1,1,0
EX,1,0.5,0.5,1,0,0,0
EY,1,1,0.25,0.5,1,1,1
EZ,1,0.5,0.5,1,0,1,0
E[,1,0.5,0.25,0.5,1,1,1
F',1,0.5,0.5,0.5,1,1,1
"F,",1,1,0,1,1,1,1
F.,1,0.5,0.75,1,1,1,1
F/,1,0.5,0.75,1,1,1,1
F;,1,0.5,1,1,1,1,1
FA,1,0.5,1,1,1,0,0
FB,0,1,0.5,0.5,0.5,0,0
FC,1,1,0,1,0.5,0,0
FD,1,1,1,1,1,1,0
FE,1,1,0.75,1,0.5,0,0
FF,0,1,1,1,1,0,0
FG,0,1,0.5,0.5,1,0,0
FH,1,1,0.5,0.5,1,1,1
FI,1,1,0.75,1,1,1,1
FJ,1,1,1,1,1,1,1
FK,1,1,1,1,1,1,1
FL,1,0.5,1,1,1,1,1
FM,1,1,0.75,1,1,1,1
FN,1,1,0.5,0.5,1,1,1
FO,1,0.5,0.75,1,1,1,1
FP,1,0.5,0,1,1,1,1
FQ,1,0.5,0,1,0.5,1,0
FR,0,1,0,1,0.5,0,0
FS,1,0.5,1,1,1,0,0
FT,0,1,0.5,0.5,0.5,0,0
FU,1,1,0,1,1,1,1
FV,0,1,0.75,1,0.5,0,0
FW,1,0.5,0.75,1,0.5,1,0
FX,1,0.5,0.75,1,0.5,1,0
FY,1,1,0.5,0.5,1,1,1
FZ,1,0.5,0.75,1,0.5,1,0
F[,1,0.5,0.5,0.5,1,1,1
G',1,0.5,0,0,1,1,1
"G,",1,1,0,0.5,1,1,1
G.,1,0.5,0.25,0.5,1,1,1
G/,1,0.5,0.25,0.5,1,1,1
G;,1,0.5,0.5,0.5,1,1,1
GA,1,0.5,0.5,0.5,1,0,0
GB,0,1,0,0,0.5,0,0
GC,1,1,0,0.5,0.5,0,0
GD,1,1,0.5,0.5,1,0,0
