key_pair,comfort_score,distance_interval,distance_return,distance_setup,distance_total,dvorak7_columns,dvorak7_distribution,dvorak7_inward,dvorak7_middle,dvorak7_remote,dvorak7_score,dvorak7_strength,dvorak7_vspan,engram7_hspan,engram7_load,engram7_position,engram7_score,engram7_sequence,engram7_strength,engram7_stretch,engram7_vspan,time_interval,time_return,time_setup,time_total,comfort_score_normalized,distance_interval_normalized,distance_return_normalized,distance_setup_normalized,distance_total_normalized,dvorak7_columns_normalized,dvorak7_distribution_normalized,dvorak7_inward_normalized,dvorak7_middle_normalized,dvorak7_remote_normalized,dvorak7_score_normalized,dvorak7_strength_normalized,dvorak7_vspan_normalized,engram7_hspan_normalized,engram7_load_normalized,engram7_position_normalized,engram7_score_normalized,engram7_sequence_normalized,engram7_strength_normalized,engram7_stretch_normalized,engram7_vspan_normalized,time_interval_normalized,time_return_normalized,time_setup_normalized,time_total_normalized
",/",-1.079011,21.470911,42.941821,21.470911,85.883642,1.0,0.5,0.0,0.0,1.0,4.0,0.5,1.0,0.0,1.0,0.25,3.75,0.0,0.5,1.0,1.0,448.0,200.0,213.9,1069.759676,0.280659,0.39038,0.613455,0.613455,0.636175,1.0,0.5,0.0,0.0,1.0,0.571429,0.5,1.0,0.0,1.0,0.25,0.535714,0.0,0.5,1.0,1.0,0.994286,0.0,0.0695,0.734941
",;",-0.995078,0.0,21.470911,21.470911,42.941821,1.0,0.5,0.0,0.5,1.0,4.0,0.5,0.5,1.0,1.0,0.5,4.5,0.0,0.5,1.0,0.5,448.0,200.0,213.9,861.9,0.336615,0.0,0.306727,0.613455,0.318088,1.0,0.5,0.0,0.5,1.0,0.571429,0.5,0.5,1.0,1.0,0.5,0.642857,0.0,0.5,1.0,0.5,0.994286,0.0,0.0695,0.429265
",A",-0.544293,0.0,21.470911,21.470911,42.941821,1.0,1.0,1.0,0.5,1.0,6.0,0.5,1.0,1.0,1.0,0.5,6.0,1.0,0.5,1.0,1.0,448.0,200.0,213.9,861.9,0.637138,0.0,0.306727,0.613455,0.318088,1.0,1.0,1.0,0.5,1.0,0.857143,0.5,1.0,1.0,1.0,0.5,0.857143,1.0,0.5,1.0,1.0,0.994286,0.0,0.0695,0.429265
",B",-0.793852,34.669872,56.140782,21.470911,112.281564,0.5,1.0,1.0,0.0,1.0,5.5,1.0,1.0,1.0,1.0,0.0,5.5,1.0,1.0,0.5,1.0,448.0,286.2,213.9,948.1,0.470765,0.630361,0.802011,0.613455,0.831715,0.5,1.0,1.0,0.0,1.0,0.785714,1.0,1.0,1.0,1.0,0.0,0.785714,1.0,1.0,0.5,1.0,0.994286,0.431,0.0695,0.556029
",C",-0.751148,21.470911,42.941821,21.470911,85.883642,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,448.0,200.0,213.9,861.9,0.499235,0.39038,0.613455,0.613455,0.636175,1.0,1.0,1.0,0.0,1.0,0.857143,1.0,1.0,1.0,1.0,0.0,0.857143,1.0,1.0,1.0,1.0,0.994286,0.0,0.0695,0.429265
",D",-0.478629,0.0,21.470911,21.470911,42.941821,1.0,1.0,1.0,0.5,1.0,6.5,1.0,1.0,1.0,1.0,0.5,6.5,1.0,1.0,1.0,1.0,120.0,206.4,213.9,640.803453,0.680914,0.0,0.306727,0.613455,0.318088,1.0,1.0,1.0,0.5,1.0,0.928571,1.0,1.0,1.0,1.0,0.5,0.928571,1.0,1.0,1.0,1.0,0.057143,0.032,0.0695,0.104123
",E",-0.546323,19.646883,41.117793,21.470911,82.235587,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.25,6.25,1.0,1.0,1.0,1.0,137.0,211.5,213.9,720.009953,0.635785,0.357216,0.587397,0.613455,0.609152,1.0,1.0,1.0,0.0,1.0,0.857143,1.0,1.0,1.0,1.0,0.25,0.892857,1.0,1.0,1.0,1.0,0.105714,0.0575,0.0695,0.220603
",F",-0.406139,0.0,21.470911,21.470911,42.941821,1.0,1.0,1.0,0.5,1.0,6.5,1.0,1.0,1.0,1.0,0.5,6.5,1.0,1.0,1.0,1.0,448.0,244.5,213.9,908.998934,0.729241,0.0,0.306727,0.613455,0.318088,1.0,1.0,1.0,0.5,1.0,0.928571,1.0,1.0,1.0,1.0,0.5,0.928571,1.0,1.0,1.0,1.0,0.994286,0.2225,0.0695,0.498528
",G",-0.793852,19.0,40.470911,21.470911,80.941821,0.5,1.0,1.0,0.5,1.0,6.0,1.0,1.0,1.0,1.0,0.0,5.5,1.0,1.0,0.5,1.0,120.0,200.0,213.9,775.663924,0.470765,0.345455,0.578156,0.613455,0.599569,0.5,1.0,1.0,0.5,1.0,0.857143,1.0,1.0,1.0,1.0,0.0,0.785714,1.0,1.0,0.5,1.0,0.057143,0.0,0.0695,0.302447
",H",-1.401832,19.0,40.470911,21.470911,80.941821,0.5,0.5,1.0,0.5,1.0,5.0,1.0,0.5,0.0,1.0,0.0,3.0,0.0,1.0,0.5,0.5,448.0,200.0,213.9,870.615959,0.065445,0.345455,0.578156,0.613455,0.599569,0.5,0.5,1.0,0.5,1.0,0.714286,1.0,0.5,0.0,1.0,0.0,0.428571,0.0,1.0,0.5,0.5,0.994286,0.0,0.0695,0.442082
